time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2021-11-10 11:6:10.3730,-0.49,1.127,-0.581,2.66,-20.71,7.11,5.38,-3.43,-6.7
2021-11-10 11:6:10.3830,-0.306,1.07,-0.528,1.5,-20.19,7.03,4.74,-3.24,-6.24
2021-11-10 11:6:10.3930,-0.125,1.022,-0.479,0.39,-19.8,6.98,4.74,-3.24,-6.24
2021-11-10 11:6:10.4040,0.012,0.998,-0.413,-0.85,-19.36,7.03,4.45,-3.18,-5.98
2021-11-10 11:6:10.4130,0.151,0.974,-0.329,-1.75,-19.09,6.93,4.25,-3.16,-5.62
2021-11-10 11:6:10.4220,0.343,0.927,-0.234,-2.43,-18.86,6.61,4.18,-3.25,-5.2
2021-11-10 11:6:10.4330,0.521,0.867,-0.143,-3.58,-18.42,6.12,4.22,-3.57,-4.74
2021-11-10 11:6:10.4430,0.647,0.815,-0.063,-4.93,-17.71,5.63,4.28,-4.03,-4.25
2021-11-10 11:6:10.4530,0.745,0.771,-0.01,-5.81,-17.02,5.16,4.27,-4.45,-3.72
2021-11-10 11:6:10.4630,0.797,0.75,0.013,-6.39,-16.33,4.87,4.07,-4.69,-3.13
2021-11-10 11:6:10.4730,0.816,0.728,0.046,-6.62,-15.87,4.85,3.73,-4.64,-2.51
2021-11-10 11:6:10.4840,0.819,0.757,0.064,-6.51,-15.43,4.85,3.3,-4.18,-1.8
2021-11-10 11:6:10.4930,0.849,0.694,0.042,-6.29,-15.38,4.66,2.23,-3.18,-0.83
2021-11-10 11:6:10.5040,0.92,0.627,0.092,-6.13,-15.06,5.03,2.23,-3.18,-0.83
2021-11-10 11:6:10.5140,0.976,0.623,0.133,-6.52,-14.1,4.86,1.74,-2.88,-0.68
2021-11-10 11:6:10.5220,1.029,0.647,0.173,-6.98,-13.76,4.4,1.25,-2.5,-0.54
2021-11-10 11:6:10.5340,1.104,0.644,0.21,-7.29,-13.89,4.06,0.54,-1.8,-0.17
2021-11-10 11:6:10.5430,1.191,0.629,0.229,-7.83,-13.96,3.66,0.54,-1.8,-0.17
2021-11-10 11:6:10.5520,1.254,0.637,0.254,-8.56,-13.75,3.4,0.33,-1.72,0.11
2021-11-10 11:6:10.5640,1.286,0.649,0.282,-9.24,-13.77,3.17,0.24,-1.87,0.51
2021-11-10 11:6:10.5740,1.306,0.671,0.318,-9.59,-13.88,2.85,0.28,-2.13,0.99
2021-11-10 11:6:10.5830,1.307,0.694,0.37,-9.8,-14.08,2.52,0.42,-2.29,1.49
2021-11-10 11:6:10.5930,1.261,0.734,0.413,-9.93,-14.33,2.0,0.69,-1.91,2.58
2021-11-10 11:6:10.6030,1.212,0.746,0.466,-9.72,-14.68,1.56,0.69,-1.91,2.58
2021-11-10 11:6:10.6130,1.178,0.738,0.537,-9.3,-15.02,1.08,0.55,-0.94,3.38
2021-11-10 11:6:10.6220,1.131,0.73,0.598,-9.16,-15.0,0.49,0.55,-0.94,3.38
2021-11-10 11:6:10.6330,1.106,0.736,0.652,-8.95,-15.01,-0.21,0.27,-0.49,3.67
2021-11-10 11:6:10.6420,1.076,0.785,0.715,-8.92,-15.03,-0.7,-0.05,-0.23,3.95
2021-11-10 11:6:10.6530,1.011,0.849,0.776,-8.98,-15.46,-1.33,-0.31,-0.2,4.32
2021-11-10 11:6:10.6620,0.873,0.964,0.811,-8.89,-16.13,-1.97,-0.43,-0.41,4.82
2021-11-10 11:6:10.6720,0.691,1.021,0.798,-8.18,-17.17,-2.52,-0.45,-0.92,5.41
2021-11-10 11:6:10.6820,0.481,1.066,0.767,-6.91,-18.12,-2.56,-0.41,-1.38,6.03
2021-11-10 11:6:10.6940,0.218,1.121,0.7,-5.43,-18.49,-2.4,-0.36,-1.59,7.07
2021-11-10 11:6:10.7030,-0.068,1.126,0.622,-3.53,-19.12,-1.85,-0.36,-1.59,7.07
2021-11-10 11:6:10.7130,-0.389,1.122,0.502,-1.31,-19.3,-1.21,-0.72,-0.75,7.75
2021-11-10 11:6:10.7220,-0.762,1.13,0.388,1.11,-19.2,-0.17,-0.72,-0.75,7.75
2021-11-10 11:6:10.7330,-1.135,1.162,0.285,3.94,-19.14,0.92,-1.14,0.21,8.06
2021-11-10 11:6:10.7420,-1.44,1.198,0.182,7.01,-19.21,1.83,-1.64,1.37,8.27
2021-11-10 11:6:10.7520,-1.641,1.215,0.058,9.54,-19.46,2.59,-2.51,3.07,8.05
2021-11-10 11:6:10.7630,-1.749,1.209,-0.056,11.15,-19.45,3.42,-2.51,3.07,8.05
2021-11-10 11:6:10.7720,-1.757,1.178,-0.126,11.85,-19.27,4.32,-2.23,2.37,7.08
2021-11-10 11:6:10.7820,-1.733,1.14,-0.187,11.61,-18.71,4.83,-2.23,2.37,7.08
2021-11-10 11:6:10.7930,-1.699,1.099,-0.223,10.92,-18.05,5.22,-1.75,1.36,6.67
2021-11-10 11:6:10.8030,-1.668,1.035,-0.235,10.13,-17.28,5.54,-1.32,0.5,6.46
2021-11-10 11:6:10.8120,-1.626,0.957,-0.248,9.45,-16.36,5.62,-1.13,0.03,6.44
2021-11-10 11:6:10.8230,-1.606,0.889,-0.266,8.66,-15.19,5.68,-1.15,-0.09,6.53
2021-11-10 11:6:10.8320,-1.615,0.887,-0.281,8.04,-13.98,5.77,-1.36,0.12,6.62
2021-11-10 11:6:10.8430,-1.667,0.926,-0.269,7.67,-13.19,5.87,-1.58,0.55,6.65
2021-11-10 11:6:10.8520,-1.769,0.986,-0.244,7.69,-13.01,5.69,-1.74,1.01,6.71
2021-11-10 11:6:10.8630,-1.884,1.045,-0.219,8.24,-12.96,5.31,-1.85,1.37,6.77
2021-11-10 11:6:10.8720,-2.0,1.035,-0.199,9.1,-13.1,4.86,-1.93,1.47,6.83
2021-11-10 11:6:10.8820,-2.105,0.923,-0.206,10.0,-12.72,4.47,-2.03,1.42,6.87
2021-11-10 11:6:10.8920,-2.171,0.801,-0.301,10.94,-11.4,4.2,-2.27,1.31,6.82
2021-11-10 11:6:10.9030,-2.268,0.764,-0.406,11.56,-9.5,4.64,-2.66,1.18,6.66
2021-11-10 11:6:10.9120,-2.394,0.82,-0.487,12.25,-8.21,5.63,-2.97,1.08,6.43
2021-11-10 11:6:10.9220,-2.535,0.913,-0.564,13.37,-7.92,6.34,-3.12,0.96,6.21
2021-11-10 11:6:10.9320,-2.682,0.923,-0.571,14.69,-8.27,7.09,-3.04,0.92,6.07
2021-11-10 11:6:10.9420,-2.811,0.847,-0.528,16.15,-8.26,7.38,-2.75,1.04,5.95
2021-11-10 11:6:10.9530,-2.911,0.712,-0.487,17.56,-7.23,7.0,-2.34,1.14,5.77
2021-11-10 11:6:10.9620,-2.961,0.548,-0.5,18.72,-5.63,6.45,-1.97,1.15,5.46
2021-11-10 11:6:10.9720,-2.944,0.392,-0.55,19.57,-3.6,6.29,-1.84,1.09,4.98
2021-11-10 11:6:10.9820,-2.93,0.296,-0.57,19.67,-1.6,6.66,-1.89,1.02,4.35
2021-11-10 11:6:10.9920,-2.905,0.256,-0.558,19.58,-0.05,6.99,-1.96,0.97,3.66
2021-11-10 11:6:11.0030,-2.837,0.222,-0.534,19.53,0.75,6.93,-1.93,0.95,2.99
2021-11-10 11:6:11.0110,-2.748,0.169,-0.508,19.1,1.29,6.71,-1.78,0.93,2.43
2021-11-10 11:6:11.0220,-2.662,0.069,-0.484,18.33,1.87,6.43,-1.57,0.96,2.01
2021-11-10 11:6:11.0310,-2.553,-0.024,-0.505,17.53,2.84,6.14,-1.38,1.06,1.66
2021-11-10 11:6:11.0420,-2.402,-0.12,-0.557,16.65,3.94,6.07,-1.3,1.2,1.3
2021-11-10 11:6:11.0510,-2.259,-0.21,-0.583,15.31,4.9,6.49,-1.24,1.34,0.96
2021-11-10 11:6:11.0610,-2.144,-0.231,-0.581,13.84,5.96,6.8,-1.08,1.37,0.66
2021-11-10 11:6:11.0730,-2.041,-0.205,-0.565,12.63,6.46,6.78,-0.79,1.27,0.38
2021-11-10 11:6:11.0820,-1.959,-0.155,-0.549,11.57,6.35,6.58,-0.44,1.02,0.12
2021-11-10 11:6:11.0910,-1.879,-0.091,-0.514,10.68,5.93,6.37,-0.1,0.67,-0.15
2021-11-10 11:6:11.1010,-1.798,-0.03,-0.455,9.89,5.31,6.08,0.22,0.3,-0.42
2021-11-10 11:6:11.1120,-1.725,0.039,-0.388,9.06,4.64,5.56,0.52,-0.01,-0.66
2021-11-10 11:6:11.1220,-1.653,0.128,-0.321,8.3,3.96,4.89,0.76,-0.23,-0.85
2021-11-10 11:6:11.1320,-1.589,0.201,-0.246,7.55,3.07,4.23,0.93,-0.33,-0.97
2021-11-10 11:6:11.1420,-1.507,0.236,-0.169,6.86,2.17,3.51,1.06,-0.26,-1.05
2021-11-10 11:6:11.1510,-1.388,0.245,-0.107,6.12,1.6,2.72,1.26,0.18,-1.16
2021-11-10 11:6:11.1620,-1.24,0.232,-0.058,5.05,1.33,1.98,1.26,0.18,-1.16
2021-11-10 11:6:11.1720,-1.075,0.208,-0.015,3.65,1.28,1.4,1.32,0.38,-1.23
2021-11-10 11:6:11.1810,-0.928,0.199,0.016,2.01,1.4,0.86,1.34,0.5,-1.28
2021-11-10 11:6:11.1920,-0.821,0.21,0.029,0.42,1.46,0.4,1.27,0.51,-1.3
